stop_id,stop_name,stop_lat,stop_lon
C7079,Constancio C. Vigil 1219,-31.354796,-64.157136
C7082,Juan Montalvo 4702,-31.35448,-64.163852
C7080,Alfonsina Storni 1171,-31.355978,-64.158665
C7081,Alfonsina Storni 1013,-31.355346,-64.160838
C7085,Alfonsina Storni 261,-31.353839,-64.172055
C7083,Alfonsina Storni 665,-31.353871,-64.165966
C7086,Alfonsina Storni 29,-31.353797,-64.175456
C7087,Avenida Juan B. Justo 5181,-31.362217,-64.17618
C7084,Alfonsina Storni 509,-31.353802,-64.168122
C7088,Avenida Juan B. Justo 5001,-31.364965,-64.17618
C7092,Avenida Juan B. Justo 4091,-31.376274,-64.176174
C7089,Avenida Juan B. Justo 4773,-31.368181,-64.17618
C7091,Avenida Juan B. Justo 4335,-31.373288,-64.176137
C7090,Avenida Juan B. Justo 4491,-31.371533452706032,-64.17617440223695
C7093,Avenida Juan B. Justo 3905,-31.379168,-64.176142
C7097,Tucumán 2415,-31.387293,-64.178438
C7094,Avenida Juan B. Justo 3781,-31.381422,-64.176121
C7096,Calderón de La Barca 248,-31.385149,-64.177709
C7098,Tucumán 2265,-31.389509,-64.17846
C7095,Avenida Juan B. Justo 3469,-31.384902,-64.176153
C7101,José Baigorri 109,-31.394825,-64.176963
C7099,Tucumán 2181,-31.391451,-64.178427
C7100,Tucumán 2045,-31.393617,-64.178449
C7104,Gino Galeotti 201,-31.398269,-64.172934
C7103,Gianelli 800,-31.396282,-64.172215
C7108,Faustino Allende 56,-31.403347,-64.177247
C7102,Gianelli 590,-31.395531,-64.174619
C7106,Suipacha 997,-31.401099,-64.174678
C7107,Cochabamba 911,-31.403489,-64.174758
C7105,Avenida Bulnes 1047,-31.399688,-64.174404
C7110,Faustino Allende 317,-31.401712,-64.182563
C7111,Avenida Roque Sáenz Peña 1107,-31.402527,-64.183143
C7109,Faustino Allende 169,-31.402486,-64.180096
C6193,Avenida General Paz 675,-31.407476,-64.183609
C7117,Avenida Duarte Quirós 671,-31.416857,-64.194354
C7118,Avenida Duarte Quirós 994,-31.415525,-64.198453
C7119,Avenida Duarte Quirós 1172,-31.414664,-64.200824
C7123,Avenida Duarte Quirós 2192,-31.410219,-64.213436
C7120,Avenida Duarte Quirós 1460,-31.413025,-64.204611
C7122,Ocaña 299,-31.410942,-64.211193
C7121,Avenida Duarte Quirós 1692,-31.41205,-64.207787
C7124,Avenida Duarte Quirós 2472,-31.409198,-64.216644
C7126,Avenida Duarte Quirós 2866,-31.407737,-64.221134
C7125,Avenida Duarte Quirós 2674,-31.408447,-64.21894
C7130,Luis de Azpeitía 3562,-31.407852,-64.229314
C7132,Avenida Don Bosco 3886,-31.407875,-64.23366
C7127,Avenida Duarte Quirós 3088,-31.406977,-64.223612
C7128,Avenida Duarte Quirós 3278,-31.4063,-64.225817
C7129,Juana Azurduy 364,-31.40744,-64.227576
C7131,Avenida Don Bosco 3798,-31.407733,-64.232066
C7133,Avenida Don Bosco 3978,-31.407737,-64.235628
C7137,Avenida Don Bosco 4626,-31.405288,-64.244238
C7135,Avenida Don Bosco 4336,-31.406552,-64.240462
C7136,Avenida Don Bosco 4464,-31.406043,-64.242285
C7138,Avenida Don Bosco 4730,-31.404743,-64.245434
C7134,Avenida Don Bosco 4184,-31.407142,-64.238209
C5199,Avenida Don Bosco 5228,-31.401625,-64.251958
C7139,Avenida Don Bosco 4985,-31.403145,-64.248878
C7141,Avenida Don Bosco 5284,-31.400938,-64.253342
C7143,Pasco 323,-31.39725686515653,-64.25916194915773
C7365,Avenida General Paz 287,-31.412004,-64.185423
C7151,Luz Vieyra Méndez 644,-31.406703,-64.264956
MA-00000927,Avenida Idelfonso Muñecas 4165,-31.480707481981685,-64.14216935634614
MA-00000918,Avenida Rafael Núñez 5493,-31.353302523278355,-64.24565434455873
MA-00000906,Estocolmo 4328,-31.44843541936173,-64.2445492744446
MA-00000852,Coronel José Javier Diaz 251,-31.445671209459764,-64.19494450092317
MA-00000841,Tilcara 698,-31.474421410740053,-64.21270608901979
MA-00000832,Avenida Doctor Arturo Capdevila 502,-31.37899428817043,-64.16741430759431
C7673,Nueva Orleans 1590,-31.384014,-64.163734
MA-00000793,Centeno 3802,-31.432201384281225,-64.13672447204591
MA-00000781,Avenida General Paz 223,-31.41249433084862,-64.18569087982179
MA-00000669,Manuel de Falla 6905,-31.34035091929355,-64.29042577743532
MA-00000626,Solares 2432,-31.437963941946933,-64.14350509643556
MA-00000609,Libertad 2394,-31.405013264116562,-64.15443778038026
MA-00000597,Avenida Renault 2300,-31.47254099734393,-64.2382836341858
MA-00000584,Avenida Santa Fe 352,-31.4067210509797,-64.20010507106782
MA-00000580,Vélez Sársfield 355,-31.316156378171428,-64.30891156196596
c7712,Medellin 702,-31.383473252827788,-64.16795611381532
MA-00000519,Chachapoyas 2141,-31.38401364516802,-64.13264751434328
MA-00000479,Bulevar Los Alemanes 3446,-31.343264842054108,-64.2155170440674
MA-00000470,Barda Del Medio 968,-31.46251148789197,-64.21426177024843
MA-00000459,Bermudas 536,-31.461550575204523,-64.20842528343202
MA-00000458,Carnerillo 2200,-31.43771678630036,-64.12860274314882
MA-00000457,Av. Vucetich 7331-7311,-31.464666641915493,-64.0860950946808
p29_ida,Avenida Amadeo Sabattini 5312,-31.451657176983534,-64.11700487136842
p35_ida_a1,Avenida Armada Argentina 1600,-31.466208621886917,-64.22412157058717
MA-00000381,Nicolás Avellaneda 4549,-31.36442014637081,-64.18694078922273
MA-00000361,Pasaje Puch 3699,-31.36564772253986,-64.15070950984956
MA-00000347,Avenida Sagrada Familia 1655,-31.38344577516811,-64.22399282455446
MA-00000236,Mariano Boedo 1767,-31.429221559046226,-64.11688685417177
MA-00000244,Emilio Salgari 1724,-31.429010999456278,-64.12666082382204
MA-00000219,Bariloche 599-449,-31.458283398309025,-64.20736312866212
MA-00000272,Luis José de Tejeda 4346,-31.369055536526673,-64.23516154289247
MA-00000545,Lisardo Novillo Saravia 692,-31.442958405969215,-64.18701857328415
C7142,Avenida Don Bosco 5584,-31.399166,-64.257129
C7150,Luz Vieyra Méndez 518,-31.404523,-64.264977
MA-00000950,Aviador Silvio Pettirossi 3737,-31.45117791416836,-64.24800527721773
MA-00000928,Avenida Idelfonso Muñecas 4285,-31.480766955166157,-64.14026498794557
MA-00000911,Mackay Gordon S/N,-31.36107629415369,-64.1864848136902
MA-00000900,Avenida Agustín Roque Arias 3479,-31.448243208728698,-64.24286484718324
MA-00000880,Dirección desconocida,-31.49574384425198,-64.26665067672731
MA-00000872,Constancio C. Vigil 1201,-31.354345754097327,-64.15752040928417
MA-00000862,Colorado 5809,-31.48047873861217,-64.23453390598299
MA-00000417,Manuel Calviño S/N,-31.338069199791587,-64.25539612770082
MA-00000856,Viña del Mar S/N,-31.47149783201488,-64.20692861080171
MA-00000846,Adrián Beccar Varela 177,-31.447703186268427,-64.1960656642914
MA-00000834,Abad e Illana 1020,-31.38772303408833,-64.16581571102144
MA-00000226,Bulogne Sur Mer 600,-31.390488952197096,-64.24314916133882
MA-00000937,De Las Exposiciones 4156,-31.467315903410473,-64.14321541786195
p5_iida_a1,Mariano Fragueíro 3633,-31.371977730214976,-64.18388843536378
MA-00000666,Ausonia 9258,-31.329674928198568,-64.29445981979372
MA-00000629,Impira S/N,-31.463554753358963,-64.24548268318178
MA-00000619,Pedro Antonio Inchauspe 98,-31.449844951954606,-64.19803977012636
MA-00000611,Gavilán 541,-31.407604692571276,-64.15340781211854
MA-00000598,Cacheuta 3809,-31.4518173467014,-64.21280264854433
MA-00000586,Rodríguez de Ruesca 507,-31.358639329665902,-64.19042766094209
C1652,Los Álamos 7919,-31.336174,-64.310056
MA-00000530,Ferroviarios 1563,-31.42904761854935,-64.16449069976808
